Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.4.10,23:24,37.585297,121.413578,11.8922,31.800333,7.984828,16.063 
2016.4.10,23:25,37.583188,121.413752,11.525233,31.747167,8.084867,15.833 
2016.4.10,23:26,37.581187,121.413915,11.398167,31.713367,8.167067,15.614 
2016.4.10,23:27,37.579632,121.414692,11.295933,31.711933,8.1944,15.452 
2016.4.10,23:28,37.579278,121.416493,11.141233,31.7158,8.207233,15.435 
2016.4.10,23:29,37.579298,121.418657,10.971833,31.709967,8.2306,15.467 
2016.4.10,23:30,37.57974,121.420965,10.818967,31.717833,8.242633,15.549 
2016.4.10,23:31,37.580347,121.423288,10.685533,31.719367,8.2532,15.651 
2016.4.10,23:32,37.580948,121.425578,10.5544,31.725967,8.260833,15.755 
2016.4.10,23:33,37.581623,121.427978,10.4907,31.728067,8.266333,15.871 
2016.4.10,23:34,37.582293,121.430477,10.4275,31.732867,8.269867,15.991 
2016.4.10,23:35,37.582827,121.43283,10.397833,31.736533,8.269467,16.095 
2016.4.10,23:36,37.583643,121.435018,10.370967,31.738033,8.271733,16.229 
2016.4.10,23:37,37.584588,121.43701,10.340733,31.7368,8.275733,16.374 
2016.4.10,23:38,37.586097,121.438305,10.297533,31.738867,8.279067,16.565 
2016.4.10,23:39,37.587742,121.439358,10.313033,31.742033,8.278633,16.765 
2016.4.10,23:40,37.589478,121.440568,10.252533,31.742867,8.283933,16.979 
2016.4.10,23:41,37.591338,121.441895,10.230167,31.744133,8.288467,17.209 
2016.4.10,23:42,37.593108,121.443338,10.265633,31.7438,8.290833,17.433 
2016.4.10,23:43,37.594875,121.444715,10.296633,31.7356,8.293367,17.655 
2016.4.10,23:44,37.596843,121.446107,10.2184,31.738433,8.295733,17.899 
2016.4.10,23:45,37.598693,121.44758,10.1682,31.746167,8.298867,18.132 
2016.4.10,23:46,37.60043,121.449602,10.233867,31.7428,8.300733,18.367 
2016.4.10,23:47,37.602428,121.450293,10.182167,31.7395,8.3071,18.598 
2016.4.10,23:48,37.604793,121.450545,10.099233,31.747567,8.3107,18.856 
2016.4.10,23:49,37.607265,121.45106,10.001133,31.755767,8.3128,19.133 
2016.4.10,23:50,37.609845,121.451672,10.002767,31.7596,8.3145,19.423 
2016.4.10,23:51,37.61233,121.452297,10.0716,31.755533,8.316733,19.704 
2016.4.10,23:52,37.614962,121.453057,10.014867,31.754767,8.319767,20.004 
