Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.1.15,1:07,38.85629,121.750732,5.954133,32.0634,8.184067,160.383 
2016.1.15,1:08,38.853885,121.750352,5.933767,32.064033,8.1841,160.115 
2016.1.15,1:09,38.851473,121.749977,5.923167,32.0639,8.184967,159.845 
2016.1.15,1:10,38.849053,121.74973,5.9095,32.062367,8.186133,159.577 
2016.1.15,1:11,38.84662,121.749377,5.876633,32.0644,8.185633,159.306 
2016.1.15,1:12,38.84422,121.748987,5.862933,32.065867,8.185167,159.038 
2016.1.15,1:13,38.841808,121.748542,5.8464,32.063633,8.1842,158.768 
2016.1.15,1:14,38.839373,121.74834,5.837133,32.064433,8.184367,158.499 
2016.1.15,1:15,38.836997,121.747938,5.830733,32.064567,8.184467,158.233 
2016.1.15,1:16,38.834543,121.747743,5.825633,32.062467,8.1861,157.962 
2016.1.15,1:17,38.83215,121.747338,5.801433,32.0635,8.185267,157.694 
2016.1.15,1:18,38.829712,121.747007,5.790167,32.0643,8.184767,157.423 
2016.1.15,1:19,38.827162,121.7467,5.784133,32.064267,8.185,157.140 
2016.1.15,1:20,38.82474,121.746405,5.770133,32.063967,8.184933,156.871 
2016.1.15,1:21,38.822185,121.746125,5.770833,32.066167,8.1853,156.588 
2016.1.15,1:22,38.819712,121.745835,5.7709,32.065433,8.185367,156.313 
2016.1.15,1:23,38.817245,121.745493,5.773733,32.0663,8.184467,156.039 
2016.1.15,1:24,38.814742,121.745185,5.7735,32.066733,8.183967,155.761 
2016.1.15,1:25,38.812242,121.74483,5.771033,32.0679,8.183933,155.482 
2016.1.15,1:26,38.809723,121.74447,5.7765,32.068633,8.184467,155.201 
2016.1.15,1:27,38.807258,121.744087,5.777167,32.067833,8.183667,154.926 
2016.1.15,1:28,38.804748,121.743738,5.7693,32.069267,8.182933,154.647 
2016.1.15,1:29,38.802278,121.743438,5.781367,32.0699,8.182967,154.372 
2016.1.15,1:30,38.799773,121.743128,5.784133,32.067533,8.183467,154.094 
2016.1.15,1:31,38.797263,121.742833,5.781933,32.069067,8.184,153.816 
2016.1.15,1:32,38.794777,121.742532,5.773567,32.068633,8.183533,153.540 
2016.1.15,1:33,38.7922,121.742265,5.761433,32.070267,8.1828,153.254 
2016.1.15,1:34,38.789777,121.741902,5.767433,32.070667,8.1829,152.984 
2016.1.15,1:35,38.787185,121.74152,5.7664,32.069967,8.183,152.695 
2016.1.15,1:36,38.784677,121.741248,5.7632,32.072133,8.182667,152.417 
2016.1.15,1:37,38.782208,121.740938,5.7683,32.072167,8.182167,152.143 
2016.1.15,1:38,38.77967,121.740547,5.779,32.073833,8.181733,151.860 
2016.1.15,1:39,38.777203,121.740168,5.790033,32.0732,8.182,151.585 
2016.1.15,1:40,38.774638,121.73984,5.799133,32.075367,8.180733,151.300 
2016.1.15,1:41,38.772217,121.739525,5.820967,32.074767,8.180867,151.031 
2016.1.15,1:42,38.769678,121.739125,5.8123,32.075333,8.180133,150.747 
2016.1.15,1:43,38.76715,121.73877,5.82,32.077,8.179767,150.466 
2016.1.15,1:44,38.764605,121.738433,5.821667,32.076233,8.180267,150.183 
2016.1.15,1:45,38.762045,121.738033,5.826233,32.076133,8.180433,149.897 
2016.1.15,1:46,38.759462,121.737668,5.8182,32.0775,8.179833,149.609 
2016.1.15,1:47,38.756882,121.737255,5.817133,32.0765,8.179433,149.321 
2016.1.15,1:48,38.754348,121.736992,5.829367,32.078567,8.179967,149.041 
2016.1.15,1:49,38.751802,121.736647,5.835033,32.0769,8.179933,148.757 
