Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.1.20,9:57,37.580328,121.414185,4.148692,31.504962,7.716172,15.522 
2016.1.20,9:58,37.578733,121.414922,3.6075,31.496,7.7793,15.355 
2016.1.20,9:59,37.578407,121.41662,3.345033,31.499933,7.858967,15.341 
2016.1.20,10:00,37.578598,121.418802,3.232067,31.501133,7.920067,15.392 
2016.1.20,10:01,37.579048,121.42096,3.133643,31.493821,7.96275,15.473 
2016.1.20,10:02,37.579598,121.423525,3.062133,31.4936,7.998967,15.573 
2016.1.20,10:03,37.580233,121.426312,3.0098,31.4901,8.027233,15.690 
2016.1.20,10:04,37.580933,121.429253,2.9859,31.491567,8.044733,15.820 
2016.1.20,10:05,37.581745,121.432448,2.970133,31.487767,8.055633,15.971 
2016.1.20,10:06,37.582527,121.435413,2.9724,31.4771,8.061233,16.117 
2016.1.20,10:07,37.583432,121.43842,2.959733,31.466967,8.064267,16.281 
2016.1.20,10:08,37.585217,121.439898,2.903067,31.451333,8.066667,16.507 
2016.1.20,10:09,37.587668,121.440762,2.857167,31.447967,8.0718,16.789 
2016.1.20,10:10,37.59022,121.441575,2.848767,31.4422,8.0747,17.082 
2016.1.20,10:11,37.592978,121.442303,2.817133,31.431333,8.078633,17.395 
2016.1.20,10:12,37.595653,121.443115,2.794633,31.4456,8.0813,17.701 
2016.1.20,10:13,37.598348,121.44388,2.782133,31.4425,8.083467,18.008 
2016.1.20,10:14,37.601107,121.444573,2.754633,31.4557,8.0878,18.320 
2016.1.20,10:15,37.60387,121.445412,2.7772,31.4713,8.0868,18.636 
2016.1.20,10:16,37.6065,121.446033,2.7321,31.457467,8.0936,18.932 
2016.1.20,10:17,37.609275,121.44671,2.660533,31.46,8.103,19.246 
2016.1.20,10:18,37.611855,121.447372,2.675233,31.4759,8.106,19.538 
2016.1.20,10:19,37.614538,121.448115,2.638467,31.466833,8.113667,19.843 
2016.1.20,10:20,37.617248,121.448975,2.594367,31.476033,8.119533,20.154 
2016.1.20,10:21,37.620002,121.44957,2.601,31.4875,8.122733,20.463 
2016.1.20,10:22,37.622823,121.450107,2.591833,31.484067,8.127,20.779 
2016.1.20,10:23,37.625522,121.450803,2.598033,31.497967,8.126133,21.085 
2016.1.20,10:24,37.628198,121.451497,2.6119,31.493467,8.130967,21.388 
2016.1.20,10:25,37.630938,121.452252,2.629433,31.502,8.1328,21.700 
2016.1.20,10:26,37.633525,121.452613,2.6067,31.505033,8.1383,21.986 
2016.1.20,10:27,37.636353,121.453083,2.6089,31.5136,8.142267,22.301 
2016.1.20,10:28,37.639025,121.453477,2.6043,31.5154,8.146033,22.598 
2016.1.20,10:29,37.64176,121.453908,2.598433,31.5175,8.149133,22.902 
2016.1.20,10:30,37.644452,121.454357,2.5973,31.524967,8.151067,23.202 
2016.1.20,10:31,37.647117,121.454893,2.639467,31.5294,8.150167,23.501 
2016.1.20,10:32,37.64991,121.455443,2.6816,31.537767,8.151,23.814 
2016.1.20,10:33,37.652522,121.455983,2.672967,31.537167,8.154233,24.107 
2016.1.20,10:34,37.655363,121.456613,2.670667,31.553033,8.156033,24.427 
2016.1.20,10:35,37.658087,121.457288,2.685933,31.5622,8.159033,24.736 
2016.1.20,10:36,37.660818,121.457925,2.6699,31.572433,8.1622,25.044 
2016.1.20,10:37,37.663455,121.458595,2.686133,31.578833,8.163367,25.343 
2016.1.20,10:38,37.666157,121.459408,2.711367,31.577933,8.163433,25.652 
2016.1.20,10:39,37.668868,121.459885,2.7299,31.581,8.162267,25.955 
2016.1.20,10:40,37.671447,121.460895,2.7406,31.586233,8.163067,26.254 
2016.1.20,10:41,37.674168,121.461473,2.755333,31.590833,8.1639,26.560 
2016.1.20,10:42,37.676792,121.462597,2.766533,31.596633,8.162533,26.867 
2016.1.20,10:43,37.67957,121.463393,2.748333,31.6095,8.1634,27.184 
2016.1.20,10:44,37.682148,121.464085,2.7484,31.6188,8.163667,27.477 
