Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.8.11,22:52,39.011122,121.7513,28.592773,30.437136,7.8955,177.300 
2016.8.11,22:53,39.011397,121.75172,28.216733,30.437233,8.020967,177.337 
2016.8.11,22:54,39.011698,121.752372,27.944333,30.429567,8.075533,177.380 
2016.8.11,22:55,39.012053,121.75326,27.8397,30.4162,8.102967,177.433 
2016.8.11,22:56,39.012353,121.754313,27.749133,30.4198,8.124433,177.482 
2016.8.11,22:57,39.012555,121.755615,27.682833,30.417667,8.1381,177.524 
2016.8.11,22:58,39.012453,121.756997,27.646633,30.409767,8.156333,177.535 
2016.8.11,22:59,39.011993,121.758332,27.6208,30.4067,8.168033,177.506 
2016.8.11,23:00,39.011237,121.759417,27.6428,30.405933,8.175433,177.440 
2016.8.11,23:01,39.010793,121.759822,27.658357,30.401286,8.189286,177.398 
2016.8.11,23:02,39.009687,121.760653,27.672,30.3981,8.204367,177.290 
2016.8.11,23:03,39.008522,121.761498,27.6905,30.391467,8.2295,177.176 
2016.8.11,23:04,39.007268,121.76243,27.761133,30.392567,8.245733,177.054 
2016.8.11,23:05,39.00593,121.763372,27.826467,30.388167,8.2522,176.923 
2016.8.11,23:06,39.004525,121.764373,27.845633,30.3831,8.2555,176.786 
2016.8.11,23:07,39.003147,121.765353,27.836333,30.385333,8.245,176.651 
2016.8.11,23:08,39.0016,121.76648,27.7776,30.390033,8.225767,176.500 
2016.8.11,23:09,38.999917,121.767517,27.775333,30.3874,8.226233,176.334 
2016.8.11,23:10,38.997963,121.76772,27.6919,30.375767,8.240867,176.123 
2016.8.11,23:11,38.996052,121.76793,27.688067,30.380833,8.2426,175.918 
2016.8.11,23:12,38.994017,121.768182,27.662133,30.37,8.242,175.700 
2016.8.11,23:13,38.99195,121.768457,27.601733,30.364567,8.244767,175.479 
2016.8.11,23:14,38.989853,121.768692,27.566267,30.3585,8.245967,175.254 
2016.8.11,23:15,38.987665,121.768758,27.538867,30.357433,8.2437,175.016 
2016.8.11,23:16,38.985512,121.768887,27.515367,30.3518,8.240833,174.783 
2016.8.11,23:17,38.98342,121.768978,27.461533,30.3501,8.2353,174.557 
2016.8.11,23:18,38.981265,121.769007,27.397367,30.3447,8.236767,174.322 
2016.8.11,23:19,38.979093,121.769025,27.3561,30.342133,8.236,174.085 
2016.8.11,23:20,38.97696,121.768795,27.306667,30.336533,8.234867,173.848 
