Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.1.26,18:27,37.594963,121.409392,4.9011,31.532033,8.132172,17.091 
2016.1.26,18:28,37.594837,121.409432,3.659533,31.507633,8.1159,17.077 
2016.1.26,18:29,37.594695,121.409693,3.075033,31.5054,8.120967,17.064 
2016.1.26,18:30,37.59464,121.409772,2.7799,31.5174,8.124433,17.058 
2016.1.26,18:31,37.59463,121.409757,2.665933,31.532433,8.128633,17.057 
2016.1.26,18:32,37.594615,121.409713,2.497467,31.5075,8.132267,17.055 
2016.1.26,18:33,37.594505,121.409712,2.3518,31.5017,8.1327,17.043 
2016.1.26,18:34,37.59448,121.409758,2.208633,31.506033,8.132133,17.041 
2016.1.26,18:35,37.594422,121.410137,2.139533,31.504267,8.1325,17.037 
2016.1.26,18:36,37.59396,121.41076,2.061233,31.501133,8.129733,16.992 
2016.1.26,18:37,37.59308,121.411978,2.0706,31.509767,8.125667,16.906 
2016.1.26,18:38,37.591678,121.412903,2.037767,31.499,8.1282,16.761 
2016.1.26,18:39,37.589912,121.413172,1.988833,31.5014,8.1301,16.568 
2016.1.26,18:40,37.5878,121.413378,1.990367,31.503133,8.1321,16.337 
2016.1.26,18:41,37.585522,121.41366,1.923533,31.4998,8.134933,16.089 
2016.1.26,18:42,37.583145,121.413908,1.904733,31.494733,8.135533,15.830 
2016.1.26,18:43,37.58066,121.414235,1.875133,31.4969,8.136,15.560 
2016.1.26,18:44,37.578403,121.415313,1.876167,31.495867,8.1397,15.324 
2016.1.26,18:45,37.577923,121.418207,1.8559,31.495167,8.140733,15.309 
2016.1.26,18:46,37.577555,121.42172,1.810333,31.496367,8.1438,15.321 
2016.1.26,18:47,37.577955,121.42532,1.812133,31.503733,8.1463,15.424 
2016.1.26,18:48,37.57849,121.428997,1.8524,31.497333,8.146333,15.550 
2016.1.26,18:49,37.579072,121.432802,1.863333,31.497033,8.145967,15.689 
2016.1.26,18:50,37.579572,121.43671,1.860833,31.494333,8.145333,15.827 
2016.1.26,18:51,37.58086,121.439958,1.829067,31.492767,8.146033,16.041 
2016.1.26,18:52,37.582122,121.443337,1.778867,31.4941,8.147067,16.259 
2016.1.26,18:53,37.583342,121.446855,1.735,31.4929,8.147733,16.479 
2016.1.26,18:54,37.584755,121.450107,1.680467,31.491267,8.148933,16.716 
2016.1.26,18:55,37.58702,121.452443,1.662167,31.495333,8.150367,17.021 
2016.1.26,18:56,37.589932,121.4539,1.651667,31.5086,8.147167,17.368 
2016.1.26,18:57,37.59298,121.455123,1.678467,31.5047,8.143033,17.724 
2016.1.26,18:58,37.59624,121.455883,1.620367,31.504867,8.142733,18.089 
2016.1.26,18:59,37.59961,121.456437,1.561233,31.500867,8.145567,18.460 
2016.1.26,19:00,37.602762,121.45693,1.4829,31.508167,8.150533,18.806 
2016.1.26,19:01,37.606002,121.457187,1.443833,31.5114,8.1549,19.156 
2016.1.26,19:02,37.609317,121.457377,1.436833,31.513967,8.157,19.512 
2016.1.26,19:03,37.612417,121.457615,1.429067,31.5132,8.1606,19.848 
2016.1.26,19:04,37.615727,121.457962,1.415767,31.520267,8.1628,20.208 
2016.1.26,19:05,37.618888,121.458522,1.440067,31.5153,8.1635,20.559 
2016.1.26,19:06,37.621897,121.45915,1.428967,31.520733,8.165267,20.895 
2016.1.26,19:07,37.624982,121.459855,1.424533,31.519567,8.167033,21.241 
2016.1.26,19:08,37.628178,121.460563,1.433933,31.527767,8.167967,21.600 
2016.1.26,19:09,37.63127,121.461267,1.4795,31.527,8.169633,21.947 
2016.1.26,19:10,37.634352,121.462008,1.4835,31.5297,8.1707,22.294 
2016.1.26,19:11,37.637348,121.462618,1.506467,31.528733,8.1705,22.629 
2016.1.26,19:12,37.640488,121.463322,1.4986,31.530967,8.170033,22.982 
2016.1.26,19:13,37.643633,121.463993,1.523433,31.531367,8.169,23.334 
2016.1.26,19:14,37.646917,121.464772,1.5124,31.532867,8.169533,23.704 
2016.1.26,19:15,37.649898,121.465987,1.521933,31.5352,8.170833,24.052 
