0,0,31.7185
0,1,31.86083
0,2,32.03173
0,3,32.08083
0,4,32.0939
0,5,32.07
0,6,31.518
0,7,31.62242
0,8,31.71703
0,9,30.86525
0,10,30.7282
0,11,31.05173
0,12,30.97119
1,0,31.74297
1,1,31.90117
1,2,32.01913
1,3,32.0913
1,4,31.9994
1,5,32.17767
1,6,31.8998
1,7,31.68873
1,8,31.80653
1,9,30.7252
1,10,30.92903
1,11,31.02987
1,12,31.17023
2,0,31.95833
2,1,31.97237
2,2,32.00747
2,3,32.13533
2,4,32.09633
2,5,32.2284
2,6,32.0218
2,7,32.0149
2,8,31.94943
2,9,30.62437
2,10,31.35947
2,11,31.13967
2,12,31.26817
3,0,31.9727
3,1,31.98943
3,2,32.0046
3,3,32.16317
3,4,32.09153
3,5,32.20667
3,6,32.04133
3,7,32.05143
3,8,32.017
3,9,30.54227
3,10,31.15537
3,11,31.40843
3,12,31.3909
4,0,32.01733
4,1,32.08433
4,2,32.06837
4,3,32.18197
4,4,32.1396
4,5,32.14143
4,6,32.14497
4,7,32.0241
4,8,32.023
4,9,31.40953
4,10,31.04927
4,11,31.40993
4,12,31.62717
5,0,31.97637
5,1,31.9728
5,2,32.12637
5,3,32.19217
5,4,32.16957
5,5,32.11187
5,6,32.1458
5,7,31.9905
5,8,32.01887
5,9,31.41077
5,10,31.06003
5,11,31.36007
5,12,31.66733
6,0,31.9255
6,1,31.8825
6,2,32.099
6,3,32.18277
6,4,32.19427
6,5,32.0751
6,6,32.1047
6,7,31.97253
6,8,32.02987
6,9,31.3216
6,10,30.90823
6,11,31.2728
6,12,31.64187
7,0,31.8986
7,1,31.881
7,2,32.1123
7,3,32.1721
7,4,32.14307
7,5,32.05187
7,6,32.0566
7,7,31.98363
7,8,32.0139
7,9,31.33677
7,10,30.95313
7,11,31.08413
7,12,31.67107
8,0,31.7454
8,1,31.9126
8,2,32.0571
8,3,32.1419
8,4,32.07263
8,5,32.05503
8,6,32.05143
8,7,32.0035
8,8,32.02727
8,9,31.2942
8,10,31.1629
8,11,31.25477
8,12,31.61273
9,0,31.61203
9,1,31.6984
9,2,31.99917
9,3,32.10217
9,4,32.0769
9,5,32.07225
9,6,32.05667
9,7,32.02337
9,8,31.98997
9,9,31.3662
9,10,31.1255
9,11,31.13067
9,12,31.54097
10,0,31.5509
10,1,31.5185
10,2,31.9718
10,3,32.13827
10,4,32.14543
10,5,32.0768
10,6,32.0632
10,7,32.0316
10,8,32.02767
10,9,31.34003
10,10,31.34203
10,11,31.0044
10,12,31.4774
11,0,31.3565
11,1,31.4984
11,2,31.94783
11,3,32.0161
11,4,32.14713
11,5,32.04627
11,6,32.0652
11,7,31.988
11,8,31.6805
11,9,31.11527
11,10,31.45943
11,11,31.19653
11,12,31.47283
12,0,31.3157
12,1,31.3056
12,2,31.9369
12,3,31.34338
12,4,32.1373
12,5,31.53833
12,6,32.10947
12,7,31.8319
12,8,31.4864
12,9,31.25043
12,10,31.3848
12,11,30.8582
12,12,31.4677
13,0,30.88775
13,1,30.92389
13,2,31.88457
13,3,32.16523
13,4,31.87797
13,5,31.4196
13,6,32.17423
13,7,31.77587
13,8,31.5765
13,9,31.5114
13,10,31.29057
13,11,31.1838
13,12,31.475
14,0,-
14,1,30.95573
14,2,31.44153
14,3,31.76097
14,4,31.58073
14,5,31.42611
14,6,31.97117
14,7,31.70963
14,8,31.81453
14,9,31.67233
14,10,30.76966
14,11,30.75067
14,12,31.4217
15,0,-
15,1,-
15,2,31.0152
15,3,-
15,4,31.16509
15,5,31.64637
15,6,-
15,7,31.7167
15,8,-
15,9,-
15,10,31.19213
15,11,-
15,12,-
16,0,-
16,1,-
16,2,31.13346
16,3,-
16,4,-
16,5,-
16,6,-
16,7,31.74225
16,8,-
16,9,-
16,10,31.00259
16,11,-
16,12,-
