Date,Time,Latitude,Longitude,Temperature,Salinity,pH
2016.6.2,4:19,39.018655,121.744457,17.194133,31.6537,8.010633
2016.6.2,4:20,39.018677,121.744497,16.8274,31.665133,8.034467
2016.6.2,4:21,39.018748,121.74459,16.567,31.6645,8.053433
2016.6.2,4:22,39.01878,121.744607,16.349167,31.658633,8.075967
2016.6.2,4:23,39.018828,121.74471,16.205067,31.669233,8.0918
2016.6.2,4:24,39.018833,121.74476,16.441767,31.6662,8.106133
2016.6.2,4:25,39.018822,121.74485,16.6521,31.628567,8.1532
2016.6.2,4:26,39.018813,121.74488,16.7832,31.598,8.201933
2016.6.2,4:27,39.018768,121.744968,16.7987,31.591367,8.2227
2016.6.2,4:28,39.01875,121.744992,16.627533,31.607667,8.197933
2016.6.2,4:29,39.018717,121.74501,16.38,31.623867,8.179067
2016.6.2,4:30,39.018698,121.745012,16.2175,31.639367,8.194333
2016.6.2,4:31,39.018678,121.744908,16.2272,31.636733,8.210967
2016.6.2,4:32,39.01895,121.744922,16.2283,31.634,8.2234
2016.6.2,4:33,39.019247,121.745203,16.238067,31.6359,8.2286
2016.6.2,4:34,39.01954,121.745738,16.2037,31.631967,8.232667
2016.6.2,4:35,39.019863,121.74649,16.072667,31.639167,8.243967
2016.6.2,4:37,39.019925,121.748663,15.897467,31.648433,8.249367
2016.6.2,4:38,39.019623,121.749853,15.836867,31.653333,8.243433
2016.6.2,4:39,39.019157,121.751133,15.906367,31.653467,8.235467
2016.6.2,4:40,39.018487,121.752578,15.984033,31.651233,8.232867
2016.6.2,4:42,39.016677,121.755397,16.2614,31.633367,8.300367
2016.6.2,4:43,39.015413,121.756437,16.345533,31.628167,8.318233
2016.6.2,4:44,39.01409,121.757407,16.329933,31.6285,8.324167
2016.6.2,4:45,39.0127,121.758453,16.3026,31.632733,8.3224
2016.6.2,4:46,39.011263,121.759543,16.290667,31.6366,8.327767
2016.6.2,4:47,39.009842,121.760638,16.261667,31.637467,8.3173
2016.6.2,4:48,39.008315,121.761845,16.2248,31.639767,8.3115
