Date,Latitude,Salinity
2015-12-06,38.9,32.0235303
2015-12-06,39,31.93127682
2015-12-08,37.6,31.17727515
2015-12-08,37.7,31.56246511
2015-12-08,37.8,31.91343557
2015-12-08,37.9,31.94009847
2015-12-08,38,31.9477493
2015-12-08,38.1,31.97179623
2015-12-08,38.2,32.02948336
2015-12-08,38.3,32.11420993
2015-12-08,38.4,32.0615296
2015-12-08,38.5,32.08505607
2015-12-08,38.6,32.11865389
2015-12-08,38.7,32.08643478
2015-12-08,38.8,32.07428142
2015-12-08,38.9,32.01492816
2015-12-08,39,31.96487022
2015-12-09,38.3,32.0878773
2015-12-09,38.4,32.08050976
2015-12-09,38.5,32.0871377
2015-12-09,38.6,32.12298578
2015-12-09,38.7,32.08493511
2015-12-09,38.8,32.07251874
2015-12-09,38.9,32.00833769
2015-12-09,39,31.90561066
2015-12-10,37.6,31.21947558
2015-12-10,37.7,31.39650337
2015-12-10,37.8,31.86931594
2015-12-10,37.9,31.9138619
2015-12-10,38,31.955584
2015-12-10,38.1,31.98871042
2015-12-10,38.2,32.01767824
2015-12-10,38.3,32.0590532
2015-12-12,37.4,31.01899882
2015-12-12,37.5,31.2242672
2015-12-12,37.6,31.30349937
2015-12-12,37.7,31.707384
2015-12-12,37.8,31.9305854
2015-12-12,37.9,31.94179852
2015-12-12,38,31.93424753
2015-12-12,38.1,31.97374821
2015-12-12,38.2,32.01632557
2015-12-12,38.3,32.08775194
2015-12-12,38.4,32.1144408
2015-12-12,38.5,32.11611762
2015-12-12,38.6,32.13857756
2015-12-12,38.7,32.12411296
2015-12-12,38.8,32.1083134
2015-12-12,38.9,32.04726794
2015-12-12,39,31.94984021
2015-12-13,37.6,31.31179239
2015-12-13,37.7,31.72286259
2015-12-13,37.8,31.92991673
2015-12-13,37.9,31.94558508
2015-12-13,38,31.95709931
2015-12-13,38.1,31.96994627
2015-12-13,38.2,31.99788615
2015-12-13,38.3,32.0584674
2015-12-13,38.4,32.10694314
2015-12-13,38.5,32.07084435
2015-12-13,38.6,32.12333846
2015-12-13,38.7,32.10574124
2015-12-13,38.8,32.08879094
2015-12-13,38.9,32.01857358
2015-12-13,39,31.87131902
2015-12-14,37.6,31.290139
2015-12-14,37.7,31.72632133
2015-12-14,37.8,31.92905783
2015-12-14,37.9,31.93844407
2015-12-14,38,31.95304686
2015-12-14,38.1,31.96403567
2015-12-14,38.2,32.00364407
2015-12-14,38.3,32.04656556
2015-12-14,38.4,32.09705482
2015-12-14,38.5,32.08304925
2015-12-14,38.6,32.10528739
2015-12-14,38.7,32.11445714
2015-12-14,38.8,32.09885108
2015-12-14,38.9,32.0429431
2015-12-14,39,31.9999111
2015-12-18,37.6,31.31778335
2015-12-18,37.7,31.55983849
2015-12-18,37.8,31.98296337
2015-12-18,37.9,31.99705208
2015-12-18,38,32.00480415
2015-12-18,38.1,32.023398
2015-12-18,38.2,32.0686459
2015-12-18,38.3,32.12117266
2015-12-18,38.4,32.15776873
2015-12-18,38.5,32.15982218
2015-12-18,38.6,32.16053659
2015-12-18,38.7,32.138075
2015-12-18,38.8,32.09152932
2015-12-18,38.9,32.04465578
2015-12-18,39,31.78382983
2015-12-21,37.6,30.84977439
2015-12-21,37.7,31.50070371
2015-12-21,37.8,31.94865926
2015-12-21,37.9,31.99056181
2015-12-21,38,31.99936665
2015-12-21,38.1,32.04881478
2015-12-21,38.2,32.1120844
2015-12-21,38.3,32.12736444
2015-12-21,38.4,32.15029128
2015-12-21,38.5,32.15647027
2015-12-21,38.6,32.15799702
2015-12-21,38.7,32.15371847
2015-12-21,38.8,32.1056318
2015-12-21,38.9,32.06896512
2015-12-21,39,31.9624967
2016-01-14,37.8,31.8392175
2016-01-14,37.9,32.08391454
2016-01-14,38,32.13175445
2016-01-14,38.1,32.10747269
2016-01-14,38.2,32.16103093
2016-01-14,38.3,32.17796328
2016-01-14,38.4,32.18700849
2016-01-14,38.5,32.19618559
2016-01-14,38.6,32.16682251
2016-01-14,38.7,32.1453152
2016-01-14,38.8,32.10823429
2016-01-14,38.9,32.08638094
2016-01-14,39,32.028029
2016-01-15,37.6,31.62804239
2016-01-15,37.7,32.01743764
2016-01-15,37.8,32.1646411
2016-01-15,37.9,32.16672223
2016-01-15,38,32.13638456
2016-01-15,38.1,32.17946666
2016-01-15,38.2,32.20273679
2016-01-15,38.3,32.20905646
2016-01-15,38.4,32.20609738
2016-01-15,38.5,32.18504173
2016-01-15,38.6,32.15407717
2016-01-15,38.7,32.11499075
2016-01-15,38.8,32.06959253
2016-01-15,38.9,32.02632598
2016-01-15,39,31.84963107
2016-01-20,37.6,31.48432733
2016-01-20,37.7,31.69596224
2016-01-20,37.8,32.00570903
2016-01-20,37.9,32.09315882
2016-01-20,38,32.12202103
2016-01-20,38.1,32.13237659
2016-01-20,38.2,32.16487119
2016-01-20,38.3,32.16599921
2016-01-20,38.4,32.19200971
2016-01-20,38.5,32.1883973
2016-01-20,38.6,32.14682545
2016-01-20,38.7,32.11539444
2016-01-20,38.8,32.106075
2016-01-20,38.9,32.09013137
2016-01-20,39,32.08579738
2016-01-21,37.6,31.63169049
2016-01-21,37.7,32.0111341
2016-01-21,37.8,32.15289598
2016-01-21,37.9,32.1649708
2016-01-21,38,32.17258413
2016-01-21,38.1,32.18901972
2016-01-21,38.2,32.21148472
2016-01-21,38.3,32.2072179
2016-01-21,38.4,32.22689997
2016-01-21,38.5,32.21686849
2016-01-21,38.6,32.15784597
2016-01-21,38.7,32.11871292
2016-01-21,38.8,32.10101661
2016-01-21,38.9,32.06810469
2016-01-21,39,31.94547075
2016-01-25,37.6,31.53195743
2016-01-25,37.7,31.58699905
2016-01-25,37.8,31.80201676
2016-01-25,37.9,32.04224037
2016-01-25,38,32.12209995
2016-01-25,38.1,32.13341489
2016-01-25,38.2,32.08631844
2016-01-25,38.3,32.13955127
2016-01-25,38.4,32.18529617
2016-01-25,38.5,32.2046514
2016-01-25,38.6,32.14933617
2016-01-25,38.7,32.10839997
2016-01-25,38.8,32.10057556
2016-01-25,38.9,32.10444569
2016-01-25,39,32.06302861
2016-01-26,37.6,31.54928232
2016-01-26,37.7,31.72743617
2016-01-26,37.8,31.94964756
2016-01-26,37.9,32.07815585
2016-01-26,38,32.130407
2016-01-26,38.1,32.13311489
2016-01-26,38.2,32.11493643
2016-01-26,38.3,32.16649353
2016-01-26,38.4,32.21025691
2016-01-26,38.5,32.19634694
2016-01-26,38.6,32.1429093
2016-01-26,38.7,32.12181183
2016-01-26,38.8,32.10958456
2016-01-26,38.9,32.05789432
2016-01-26,39,31.98631034
2016-01-27,38.5,32.19301773
2016-01-27,38.6,32.18032663
2016-01-27,38.7,32.16660397
2016-01-27,38.8,32.13553629
2016-01-27,38.9,32.08264104
2016-01-27,39,31.94703714
2016-01-31,37.8,31.78402259
2016-01-31,37.9,31.98881937
2016-01-31,38,32.07986739
