Date,Latitude,Chlorophy
2015-10-14,37.5,0.6538464477611942
2015-10-15,37.6,0.5952804166666666
2015-10-15,37.7,
2015-10-15,37.8,
2015-10-15,37.9,
2015-10-16,39.0,
2015-10-17,38.1,0.8655235714285715
2015-10-17,38.2,0.8305068928571432
2015-10-17,38.3,0.6918602500000001
2015-10-17,38.4,0.6791519090909091
2015-10-17,38.5,0.934094524344567
2015-10-17,38.6,0.825449404513894
2015-10-17,38.7,0.8224242049797273
2015-10-17,38.8,0.7897714220183489
2015-10-18,37.6,0.6188155
2015-10-18,37.7,0.7653153636363637
2015-10-19,37.8,0.8508636
2015-10-19,37.9,0.9728836981132075
2015-10-19,38.0,1.5304043888888894
2015-10-19,38.1,1.5403491886792455
2015-10-19,38.2,1.0831839090909092
2015-10-19,38.3,1.0273446363636363
2015-10-19,38.4,1.201057928571429
2015-10-19,38.5,1.2478751929824563
2015-10-19,38.6,0.9424978571428572
2015-10-19,38.7,0.9501174912280702
2015-10-19,38.8,0.9579065272727277
2015-10-19,38.9,0.7669461132075475
2015-10-19,39.0,0.8333106451612904
2015-10-24,38.4,0.6157288000000001
2015-10-24,38.5,0.5850505263157897
2015-10-24,38.6,0.6120815833333335
2015-10-24,38.7,0.6278326315789472
2015-10-24,38.8,0.5954297192982454
2015-10-24,38.9,0.5818344576271187
2015-10-24,39.0,0.6685385454545455
2015-10-25,37.6,0.4600717627118644
2015-10-25,37.7,0.470247649122807
2015-10-25,37.8,0.5152988813559322
2015-10-25,37.9,0.6134638135593221
2015-10-25,38.0,0.6386581724137932
2015-10-25,38.1,0.6184829824561406
2015-10-25,38.2,0.6372864999999999
2015-10-25,38.3,0.6616915535714286
2015-10-25,38.4,0.6246623243243244
2015-11-09,37.6,0.4817879454545454
2015-11-10,37.6,0.639506
2015-11-10,37.7,0.6380483709677417
2015-11-10,37.8,0.6293846610169492
2015-11-10,37.9,0.5698819830508474
2015-11-10,38.0,0.5507404107142858
2015-11-10,38.1,0.48750718518518527
2015-11-10,38.2,0.4722232549019609
2015-11-10,38.3,0.48895603921568637
2015-11-10,38.4,0.4977855294117645
2015-11-10,38.5,0.48748062499999995
2015-11-10,38.6,0.45796879166666676
2015-11-10,38.7,0.4432281914893619
2015-11-10,38.8,0.4450277021276595
2015-11-10,38.9,0.4604108367346939
2015-11-10,39.0,0.4844734418604652
2015-11-11,37.6,0.42502797619047616
2015-11-11,37.7,0.4426345098039215
2015-11-11,37.8,0.48299213207547165
2015-11-11,37.9,0.4831494905660378
2015-11-11,38.0,0.46143809803921565
2015-11-11,38.1,0.46638920754716967
2015-11-11,38.2,0.45734836538461543
2015-11-11,38.3,0.477416156862745
2015-11-11,38.4,0.47095316000000004
2015-11-11,38.5,0.4696945416666667
2015-11-11,38.6,0.4355945208333334
2015-11-11,38.7,0.4255687608695653
2015-11-11,38.8,0.4349523913043479
2015-11-11,38.9,0.4468578510638298
2015-11-11,39.0,0.47982229090909095
2015-11-12,37.6,0.43316415999999996
2015-11-12,37.7,0.4251184230769231
2015-11-12,37.8,0.45374632727272723
2015-11-12,37.9,0.4358758490566037
2015-11-12,38.0,0.42786757407407405
2015-11-12,38.1,0.44108015094339614
2015-11-12,38.2,0.44451328301886806
2015-11-12,38.3,0.4300903584905659
2015-11-12,38.4,0.4221053333333334
2015-11-12,38.5,0.41099090740740746
2015-11-12,38.6,0.38064000000000003
2015-11-12,38.7,0.368990537037037
2015-11-12,38.8,0.3685924210526314
2015-11-12,38.9,0.3746874629629628
2015-11-12,39.0,0.4129965714285714
2015-11-13,37.6,0.369947742857143
2015-11-13,37.7,0.38915772549019606
2015-11-13,37.8,0.40017501960784313
2015-11-13,37.9,0.39414040384615395
2015-11-13,38.0,0.3922827407407408
2015-11-13,38.1,0.4165917115384615
2015-11-13,38.2,0.402554150943396
2015-11-13,38.3,0.403568320754717
2015-11-13,38.4,0.41979255769230767
2015-11-13,38.5,0.4015232264150944
2015-11-13,38.6,0.39724103846153846
2015-11-13,38.7,0.36246057692307687
2015-11-13,38.8,0.3687644117647059
2015-11-13,38.9,0.371923
2015-11-14,37.6,0.3883009824561403
2015-11-14,37.7,0.39937021739130435
2015-11-14,37.8,0.39071631914893606
2015-11-14,37.9,0.37609272916666653
2015-11-14,38.0,0.37843600000000005
2015-11-14,38.1,0.38902855319148927
2015-11-14,38.2,0.39784720408163254
2015-11-14,38.3,0.38836712244897953
2015-11-14,38.4,0.400349962264151
2015-11-14,38.5,0.39544534
2015-11-14,38.6,0.36235396000000003
2015-11-14,38.7,0.34131408571428573
2015-11-14,38.8,0.343677779661017
2015-11-14,38.9,0.34515236585365855
2015-11-19,38.8,0.3299174
2015-11-19,38.9,0.3325595280898877
2015-11-19,39.0,0.3417317192982456
2015-11-20,37.6,0.3334973909090911
2015-11-20,37.7,0.3358130638297871
2015-11-20,37.8,0.34102810752688184
2015-11-20,37.9,0.3379501684210527
2015-11-20,38.0,0.33708254000000004
2015-11-20,38.1,0.3442640918367348
2015-11-20,38.2,0.35269877777777775
2015-11-20,38.3,0.3642145217391304
2015-11-20,38.4,0.38235202083333336
2015-11-20,38.5,0.3565163137254901
2015-11-20,38.6,0.3285304399999999
2015-11-20,38.7,0.32620889795918373
2015-11-20,38.8,0.3291932978723405
2015-11-20,38.9,0.3318450625
2015-11-21,38.3,0.3495908181818182
2015-11-21,38.4,0.3512871746031746
2015-11-21,38.5,0.3313348142857143
2015-11-21,38.6,0.32496056756756764
2015-11-21,38.7,0.3231363098591549
2015-11-21,38.8,0.3213660161290322
