Date,Latitude,pH
2015-10-14,37.5,8.063186138613867
2015-10-15,37.6,8.074158181818179
2015-10-15,37.7,8.147021999999998
2015-10-15,37.8,8.161391666666665
2015-10-15,37.9,8.177703448275862
2015-10-16,39.0,8.1209
2015-10-17,38.1,8.180928571428572
2015-10-17,38.2,8.197773333333332
2015-10-17,38.3,8.214969230769231
2015-10-17,38.4,8.235594545454546
2015-10-17,38.5,8.219170895522392
2015-10-17,38.6,8.217518518518386
2015-10-17,38.7,8.19866126230457
2015-10-17,38.8,8.192146363636352
2015-10-18,37.6,7.952466666666666
2015-10-18,37.7,8.072257142857142
2015-10-19,37.8,8.103370000000002
2015-10-19,37.9,8.131339622641509
2015-10-19,38.0,8.156305555555555
2015-10-19,38.1,8.16231886792453
2015-10-19,38.2,8.168774545454548
2015-10-19,38.3,8.205750909090911
2015-10-19,38.4,8.208119642857143
2015-10-19,38.5,8.2061649122807
2015-10-19,38.6,8.2026125
2015-10-19,38.7,8.195998245614035
2015-10-19,38.8,8.114196363636363
2015-10-19,38.9,8.030254716981128
2015-10-19,39.0,8.052932258064518
2015-10-24,38.4,8.21724
2015-10-24,38.5,8.218582456140348
2015-10-24,38.6,8.224335000000002
2015-10-24,38.7,8.205838596491226
2015-10-24,38.8,8.174801754385964
2015-10-24,38.9,8.104713333333331
2015-10-24,39.0,8.0098
2015-10-25,37.6,8.083086440677967
2015-10-25,37.7,8.135991379310344
2015-10-25,37.8,8.14551525423729
2015-10-25,37.9,8.139810169491525
2015-10-25,38.0,8.13625
2015-10-25,38.1,8.142156140350876
2015-10-25,38.2,8.159227586206894
2015-10-25,38.3,8.17375
2015-10-25,38.4,8.215089189189186
2015-11-09,37.6,7.976163716814158
2015-11-10,37.6,8.1799
2015-11-10,37.7,8.18152741935484
2015-11-10,37.8,8.149444067796606
2015-11-10,37.9,8.147457627118644
2015-11-10,38.0,8.143739285714286
2015-11-10,38.1,8.12312037037037
2015-11-10,38.2,8.115163461538462
2015-11-10,38.3,8.115054901960786
2015-11-10,38.4,8.1444
2015-11-10,38.5,8.136347916666667
2015-11-10,38.6,8.109968750000002
2015-11-10,38.7,8.071159574468084
2015-11-10,38.8,8.064458333333334
2015-11-10,38.9,8.058355102040816
2015-11-10,39.0,8.04223023255814
2015-11-11,37.6,8.173766666666664
2015-11-11,37.7,8.187400000000002
2015-11-11,37.8,8.197820754716979
2015-11-11,37.9,8.154149056603774
2015-11-11,38.0,8.146409803921568
2015-11-11,38.1,8.13487924528302
2015-11-11,38.2,8.126063461538463
2015-11-11,38.3,8.131643137254903
2015-11-11,38.4,8.157475999999997
2015-11-11,38.5,8.156695833333332
2015-11-11,38.6,8.126089583333334
2015-11-11,38.7,8.10265652173913
2015-11-11,38.8,8.109812765957447
2015-11-11,38.9,8.0704
2015-11-11,39.0,7.954200000000001
2015-11-12,37.6,8.091270000000002
2015-11-12,37.7,8.186009615384616
2015-11-12,37.8,8.197958181818182
2015-11-12,37.9,8.151918867924527
2015-11-12,38.0,8.145179629629629
2015-11-12,38.1,8.130511320754717
2015-11-12,38.2,8.12508679245283
2015-11-12,38.3,8.120015094339623
2015-11-12,38.4,8.135164912280702
2015-11-12,38.5,8.12834814814815
2015-11-12,38.6,8.115290909090907
2015-11-12,38.7,8.078692592592594
2015-11-12,38.8,8.069550877192981
2015-11-12,38.9,8.058368518518519
2015-11-12,39.0,8.0563
2015-11-13,37.6,8.172611428571429
2015-11-13,37.7,8.194247058823526
2015-11-13,37.8,8.20498431372549
2015-11-13,37.9,8.167984615384619
2015-11-13,38.0,8.143794444444445
2015-11-13,38.1,8.137655769230772
2015-11-13,38.2,8.134801886792452
2015-11-13,38.3,8.139715094339625
2015-11-13,38.4,8.151152830188678
2015-11-13,38.5,8.144979245283022
2015-11-13,38.6,8.137240384615383
2015-11-13,38.7,8.103578846153848
2015-11-13,38.8,8.111380392156866
2015-11-13,38.9,8.0951
2015-11-14,37.6,8.05711052631579
2015-11-14,37.7,8.191867391304347
2015-11-14,37.8,8.173606382978724
