Date,Latitude,Temperature
2015-10-14,37.5,20.00150614851486
2015-10-15,37.6,24.165782642424197
2015-10-15,37.7,19.634000700000005
2015-10-15,37.8,19.409054229166667
2015-10-15,37.9,19.104359724137932
2015-10-16,39.0,18.97925558333333
2015-10-17,38.1,18.38536657142857
2015-10-17,38.2,18.73026133333333
2015-10-17,38.3,19.201187153846156
2015-10-17,38.4,19.22320183636364
2015-10-17,38.5,19.148255026119426
2015-10-17,38.6,19.127537037037104
2015-10-17,38.7,19.137620729588946
2015-10-17,38.8,19.04405792727272
2015-10-18,37.6,20.322072333333335
2015-10-18,37.7,19.288342785714285
2015-10-19,37.8,18.9750699
2015-10-19,37.9,18.7484427735849
2015-10-19,38.0,18.361148814814808
2015-10-19,38.1,18.047013245283015
2015-10-19,38.2,18.186295745454544
2015-10-19,38.3,18.65353569090909
2015-10-19,38.4,18.584370250000003
2015-10-19,38.5,18.797573087719293
2015-10-19,38.6,18.769884535714286
2015-10-19,38.7,18.749283614035086
2015-10-19,38.8,18.465887890909094
2015-10-19,38.9,18.208835849056605
2015-10-19,39.0,18.093977387096775
2015-10-24,38.4,18.229381699999998
2015-10-24,38.5,18.170771403508773
2015-10-24,38.6,18.121844966666675
2015-10-24,38.7,17.967517543859657
2015-10-24,38.8,17.707307578947365
2015-10-24,38.9,17.062291583333334
2015-10-24,39.0,16.867055235294117
2015-10-25,37.6,19.31837288135593
2015-10-25,37.7,19.33584893103448
2015-10-25,37.8,19.225457644067802
2015-10-25,37.9,18.744966661016953
2015-10-25,38.0,18.266582810344833
2015-10-25,38.1,17.981276017543863
2015-10-25,38.2,17.825023499999997
2015-10-25,38.3,17.78409646428571
2015-10-25,38.4,18.260245054054053
2015-11-09,37.6,14.821131646017694
2015-11-10,37.6,14.113567
2015-11-10,37.7,14.16474806451613
2015-11-10,37.8,14.429844033898306
2015-11-10,37.9,14.606772881355932
2015-11-10,38.0,14.744661303571423
2015-11-10,38.1,14.816246962962964
2015-11-10,38.2,14.373487211538462
2015-11-10,38.3,14.363460764705879
2015-11-10,38.4,14.781458862745094
2015-11-10,38.5,14.644580583333335
2015-11-10,38.6,14.742466687499999
2015-11-10,38.7,14.675445361702119
2015-11-10,38.8,14.738587583333333
2015-11-10,38.9,14.298097346938775
2015-11-10,39.0,13.486714697674417
2015-11-11,37.6,14.021559547619047
2015-11-11,37.7,13.963296705882348
2015-11-11,37.8,13.99623962264151
2015-11-11,37.9,14.44098609433962
2015-11-11,38.0,14.655869921568627
2015-11-11,38.1,14.56839813207547
2015-11-11,38.2,14.278386557692308
2015-11-11,38.3,14.230154882352938
2015-11-11,38.4,14.479724000000001
2015-11-11,38.5,14.444587500000004
2015-11-11,38.6,14.499904166666665
2015-11-11,38.7,14.426354326086956
2015-11-11,38.8,14.449741170212768
2015-11-11,38.9,13.942946765957444
2015-11-11,39.0,13.351673785714288
2015-11-12,37.6,14.350692779999996
2015-11-12,37.7,14.219107115384618
2015-11-12,37.8,14.187464218181823
2015-11-12,37.9,14.560527641509434
2015-11-12,38.0,14.782796888888889
2015-11-12,38.1,14.815605660377356
2015-11-12,38.2,14.616050320754717
2015-11-12,38.3,14.436674849056596
2015-11-12,38.4,14.715897649122812
2015-11-12,38.5,14.595109870370372
2015-11-12,38.6,14.84551329090909
2015-11-12,38.7,14.89515311111111
2015-11-12,38.8,14.762115807017542
2015-11-12,38.9,14.284182703703706
2015-11-12,39.0,13.570139357142859
2015-11-13,37.6,14.104508542857145
2015-11-13,37.7,14.019556156862745
2015-11-13,37.8,13.982350372549018
2015-11-13,37.9,14.418862826923077
2015-11-13,38.0,14.701438833333334
2015-11-13,38.1,14.548232076923076
2015-11-13,38.2,14.431594962264152
2015-11-13,38.3,14.31684528301887
2015-11-13,38.4,14.507326999999995
2015-11-13,38.5,14.399481754716984
2015-11-13,38.6,14.450314730769229
2015-11-13,38.7,14.497375653846156
2015-11-13,38.8,14.41843854901961
2015-11-13,38.9,14.292216499999999
2015-11-14,37.6,14.520084263157894
2015-11-14,37.7,14.422220369565215
2015-11-14,37.8,14.45263689361702
2015-11-14,37.9,14.553550708333331
2015-11-14,38.0,14.806607687499996
2015-11-14,38.1,14.892377999999999
2015-11-14,38.2,14.72528710204082
2015-11-14,38.3,14.614797224489797
2015-11-14,38.4,14.574288037735847
2015-11-14,38.5,14.636308000000001
2015-11-14,38.6,14.636886059999997
2015-11-14,38.7,14.696559471428571
2015-11-14,38.8,14.496132728813556
2015-11-14,38.9,14.170374804878046
2015-11-19,38.8,13.08275596
2015-11-19,38.9,12.817501164835164
2015-11-19,39.0,12.337310017241375
2015-11-20,37.6,13.533618927927929
2015-11-20,37.7,13.594409521276596
2015-11-20,37.8,13.674020430107525
2015-11-20,37.9,13.740907694736839
2015-11-20,38.0,13.966483319999993
2015-11-20,38.1,14.159395581632648
2015-11-20,38.2,13.951369363636363
2015-11-20,38.3,13.78963260869565
2015-11-20,38.4,13.852955604166667
2015-11-20,38.5,13.852896098039214
2015-11-20,38.6,14.075463360000004
2015-11-20,38.7,13.820353755102035
2015-11-20,38.8,13.325015595744679
2015-11-20,38.9,12.809381375000001
2015-11-21,38.3,13.75520283333333
2015-11-21,38.4,13.761106841269834
2015-11-21,38.5,13.980204757142863
2015-11-21,38.6,14.10879998648649
2015-11-21,38.7,14.047744140845069
2015-11-21,38.8,13.683497370967745
2015-11-21,38.9,13.153244846153843
2015-11-21,39.0,12.497465464285716
2015-11-24,39.0,7.47925561111111
2015-11-25,39.0,9.183968866666667
2015-11-26,38.9,9.69255628125
