Date,Latitude,Saturation
2015-12-09,38.9,
2015-12-09,39.0,
2015-12-10,37.6,
2015-12-10,37.7,
2015-12-10,37.8,
2015-12-10,37.9,
2015-12-10,38.0,
2015-12-10,38.1,
2015-12-10,38.2,
2015-12-10,38.3,
2015-12-12,37.4,
2015-12-12,37.5,
2015-12-12,37.6,
2015-12-12,37.7,
2015-12-12,37.8,
2015-12-12,37.9,
2015-12-12,38.0,
2015-12-12,38.1,
2015-12-12,38.2,
2015-12-12,38.3,
2015-12-12,38.4,
2015-12-12,38.5,
2015-12-12,38.6,
2015-12-12,38.7,
2015-12-12,38.8,
2015-12-12,38.9,
2015-12-12,39.0,
2015-12-13,37.6,
2015-12-13,37.7,
2015-12-13,37.8,
2015-12-13,37.9,
2015-12-13,38.0,
2015-12-13,38.1,
2015-12-13,38.2,
2015-12-13,38.3,
2015-12-13,38.4,
2015-12-13,38.5,
2015-12-13,38.6,
2015-12-13,38.7,
2015-12-13,38.8,
2015-12-13,38.9,
2015-12-13,39.0,
2015-12-14,37.6,
2015-12-14,37.7,
2015-12-14,37.8,
2015-12-14,37.9,
2015-12-14,38.0,
2015-12-14,38.1,
2015-12-14,38.2,
2015-12-14,38.3,
2015-12-14,38.4,
2015-12-14,38.5,
2015-12-14,38.6,
2015-12-14,38.7,
2015-12-14,38.8,
2015-12-14,38.9,
2015-12-14,39.0,
2015-12-18,37.6,
2015-12-18,37.7,
2015-12-18,37.8,
2015-12-18,37.9,
2015-12-18,38.0,
2015-12-18,38.1,
2015-12-18,38.2,
2015-12-18,38.3,
2015-12-18,38.4,
2015-12-18,38.5,
2015-12-18,38.6,
2015-12-18,38.7,
2015-12-18,38.8,
2015-12-18,38.9,
2015-12-18,39.0,
2015-12-21,37.6,27.033327078651695
2015-12-21,37.7,89.23377777777779
2015-12-21,37.8,89.70216663999997
2015-12-21,37.9,90.01989587500002
2015-12-21,38.0,89.93628619565217
2015-12-21,38.1,88.23009257777775
2015-12-21,38.2,88.02288884444444
2015-12-21,38.3,88.34505553333334
2015-12-21,38.4,88.42817034782608
2015-12-21,38.5,88.4557036666667
2015-12-21,38.6,89.05031473333331
2015-12-21,38.7,89.2040370888889
2015-12-21,38.8,89.08214018181816
2015-12-21,38.9,88.82021325581397
2015-12-21,39.0,88.28791665
2015-12-28,37.6,76.32390159090909
2016-01-14,37.8,68.31100008333334
2016-01-14,37.9,86.76773497435896
2016-01-14,38.0,89.07690789473685
2016-01-14,38.1,88.96993592307689
2016-01-14,38.2,88.33786585365854
2016-01-14,38.3,88.54412389743588
2016-01-14,38.4,89.18151705128204
2016-01-14,38.5,89.95948200000001
2016-01-14,38.6,90.33975229729728
2016-01-14,38.7,90.41552385714284
2016-01-14,38.8,89.94455882352943
2016-01-14,38.9,88.17404765714285
2016-01-14,39.0,79.86546630769232
2016-01-15,37.6,89.03104165909092
2016-01-15,37.7,89.14670941025643
2016-01-15,37.8,89.40388887179485
2016-01-15,37.9,89.70373928205129
2016-01-15,38.0,88.8613247948718
2016-01-15,38.1,87.65822371052631
2016-01-15,38.2,87.6342093846154
2016-01-15,38.3,87.44049143589743
2016-01-15,38.4,87.11350425641025
2016-01-15,38.5,86.90097917499997
2016-01-15,38.6,86.71105690243901
2016-01-15,38.7,86.60089582499998
2016-01-15,38.8,87.18699999999997
2016-01-15,38.9,90.8884754878049
2016-01-15,39.0,98.17132175862069
2016-01-20,37.6,74.31822724999999
2016-01-20,37.7,87.43129389473684
2016-01-20,37.8,88.71004505405405
2016-01-20,37.9,89.24177628947369
2016-01-20,38.0,89.58225881578944
2016-01-20,38.1,89.95481981081079
2016-01-20,38.2,89.3247297837838
2016-01-20,38.3,89.19085471794872
2016-01-20,38.4,89.14436400000001
2016-01-20,38.5,88.8731081891892
2016-01-20,38.6,89.1637500263158
2016-01-20,38.7,89.13738425000001
2016-01-20,38.8,88.78648147222222
2016-01-20,38.9,88.53819051428572
2016-01-20,39.0,88.66685899999999
2016-01-21,37.6,88.58962583673467
2016-01-21,37.7,88.25075002500002
2016-01-21,37.8,88.09276426829267
2016-01-21,37.9,87.98656250000002
2016-01-21,38.0,88.09502079999999
2016-01-21,38.1,87.18910256410257
2016-01-21,38.2,87.03670941025642
2016-01-21,38.3,86.96474353846155
2016-01-21,38.4,86.6430043157895
2016-01-21,38.5,86.462973
2016-01-21,38.6,86.46711716216218
2016-01-21,38.7,86.24074066666668
2016-01-21,38.8,85.73113427777781
2016-01-21,38.9,85.99756944444444
2016-01-21,39.0,68.02260425
2016-01-25,37.6,76.42949999999999
2016-01-25,37.7,89.78814473684213
2016-01-25,37.8,89.62973686842106
2016-01-25,37.9,90.76807015789473
2016-01-25,38.0,92.17541668421052
2016-01-25,38.1,92.87439822222223
2016-01-25,38.2,92.71312494444444
2016-01-25,38.3,92.21581083783784
2016-01-25,38.4,91.88633342857146
2016-01-25,38.5,92.39438091428572
2016-01-25,38.6,92.68666677142858
2016-01-25,38.7,92.0919362647059
2016-01-25,38.8,92.60747555882352
2016-01-25,38.9,92.40040474285716
2016-01-25,39.0,84.95079007142856
2016-01-26,37.6,87.53596408823532
2016-01-26,37.7,87.87602112676056
2016-01-26,37.8,87.11882222666667
2016-01-26,37.9,87.05211713513513
2016-01-26,38.0,87.4914034473684
2016-01-26,38.1,87.66855263157893
2016-01-26,38.2,88.22360743421054
2016-01-26,38.3,88.79835501298703
2016-01-26,38.4,89.1251727195122
2016-01-26,38.5,88.73083330303032
2016-01-26,38.6,87.78213183720928
2016-01-26,38.7,87.5840475952381
2016-01-26,38.8,87.36528458536586
2016-01-26,38.9,88.90063014634148
2016-01-26,39.0,90.23833331034483
2016-01-27,38.5,91.66916673333334
2016-01-27,38.6,92.06750002857142
2016-01-27,38.7,92.06759802941174
2016-01-27,38.8,91.79730385294116
2016-01-27,38.9,91.06466216216218
2016-01-27,39.0,85.91857949999998
2016-01-28,37.6,91.13867647058824
2016-01-28,37.7,91.15170941025642
2016-01-28,37.8,90.6996458
2016-01-28,37.9,90.37959399999998
2016-01-28,38.0,90.54557684615385
2016-01-28,38.1,89.5027850789474
2016-01-28,38.2,88.903145775
