Date,Latitude,Turbidity
2015-10-14,37.5,2.1089522821782176
2015-10-15,37.6,4.277989259887008
2015-10-15,37.7,1.24671002
2015-10-15,37.8,1.1348989791666668
2015-10-15,37.9,1.1143746551724139
2015-10-16,39.0,9.677840375
2015-10-17,38.1,0.9124055714285714
2015-10-17,38.2,1.0053463666666667
2015-10-17,38.3,0.7901737692307692
2015-10-17,38.4,0.7806987272727275
2015-10-17,38.5,0.7004172388059707
2015-10-17,38.6,0.6497713535879596
2015-10-17,38.7,0.628196623045741
2015-10-17,38.8,0.6748234000000004
2015-10-18,37.6,6.193282666666666
2015-10-18,37.7,4.611121714285714
2015-10-19,37.8,1.9791625
2015-10-19,37.9,1.419583943396226
2015-10-19,38.0,0.9409919814814816
2015-10-19,38.1,0.7685187169811318
2015-10-19,38.2,0.5775303090909092
2015-10-19,38.3,0.5381561272727273
2015-10-19,38.4,0.6046429642857144
2015-10-19,38.5,0.6248925087719299
2015-10-19,38.6,0.6593426071428572
2015-10-19,38.7,0.6471247543859651
2015-10-19,38.8,0.8123026363636364
2015-10-19,38.9,1.3331269056603774
2015-10-19,39.0,1.537434
2015-10-24,38.4,4.303323099999999
2015-10-24,38.5,4.331960614035087
2015-10-24,38.6,4.408959833333335
2015-10-24,38.7,4.155648192982458
2015-10-24,38.8,4.4067361228070165
2015-10-24,38.9,5.004978983333334
2015-10-24,39.0,4.301492764705881
2015-10-25,37.6,8.378886677966104
2015-10-25,37.7,7.102719982758618
2015-10-25,37.8,5.827275372881356
2015-10-25,37.9,5.118303966101694
2015-10-25,38.0,4.6525163275862065
2015-10-25,38.1,4.506545350877194
2015-10-25,38.2,4.633541086206899
2015-10-25,38.3,4.6885944821428565
2015-10-25,38.4,4.477494108108109
2015-11-09,37.6,9.984358398230082
2015-11-10,37.6,16.528795
2015-11-10,37.7,15.591917548387096
2015-11-10,37.8,11.830792999999998
2015-11-10,37.9,6.4350423220338975
2015-11-10,38.0,3.342503125000001
2015-11-10,38.1,1.7146611111111107
2015-11-10,38.2,1.3323867692307692
2015-11-10,38.3,1.3296697843137257
2015-11-10,38.4,1.2977122941176469
2015-11-10,38.5,1.3036567708333335
2015-11-10,38.6,1.4869240624999998
2015-11-10,38.7,2.0605751914893626
2015-11-10,38.8,2.8326463124999997
2015-11-10,38.9,3.710409551020407
2015-11-10,39.0,4.144414860465116
2015-11-11,37.6,5.557378833333333
2015-11-11,37.7,4.055359607843139
2015-11-11,37.8,3.8022964716981127
2015-11-11,37.9,5.061655905660378
2015-11-11,38.0,2.530752803921567
2015-11-11,38.1,1.6783072075471697
2015-11-11,38.2,1.4296015192307696
2015-11-11,38.3,1.4281443921568626
2015-11-11,38.4,1.4156594800000002
2015-11-11,38.5,1.419387208333333
2015-11-11,38.6,1.6474370208333333
2015-11-11,38.7,2.092124021739131
2015-11-11,38.8,2.8904320212765957
2015-11-11,38.9,4.053156595744681
2015-11-11,39.0,3.6335755714285725
2015-11-12,37.6,5.34327494
2015-11-12,37.7,3.851217634615386
2015-11-12,37.8,3.6361373818181835
2015-11-12,37.9,4.346006622641509
2015-11-12,38.0,3.0705202222222225
2015-11-12,38.1,2.3306800754716988
2015-11-12,38.2,2.1695820566037733
2015-11-12,38.3,2.1406959999999997
2015-11-12,38.4,2.152010087719298
2015-11-12,38.5,2.2038101851851852
2015-11-12,38.6,2.4908935090909083
2015-11-12,38.7,3.2281017592592596
2015-11-12,38.8,3.677060210526316
2015-11-12,38.9,4.265189055555556
2015-11-12,39.0,3.5345964642857153
2015-11-13,37.6,4.850015742857142
2015-11-13,37.7,3.5665406078431374
2015-11-13,37.8,3.403430274509803
2015-11-13,37.9,4.283696211538463
2015-11-13,38.0,3.0502296666666666
2015-11-13,38.1,2.577242211538462
2015-11-13,38.2,2.374460396226415
2015-11-13,38.3,2.3496985283018867
2015-11-13,38.4,2.3289575849056603
2015-11-13,38.5,2.342794886792453
2015-11-13,38.6,2.4606789230769235
2015-11-13,38.7,2.9261343076923074
2015-11-13,38.8,3.4230850980392153
2015-11-13,38.9,3.771889
2015-11-14,37.6,7.161863894736843
2015-11-14,37.7,4.333114760869565
2015-11-14,37.8,4.665416595744681
2015-11-14,37.9,5.0265310625
2015-11-14,38.0,4.108776791666666
2015-11-14,38.1,3.534012425531915
2015-11-14,38.2,3.4263916326530603
2015-11-14,38.3,3.370265326530612
2015-11-14,38.4,3.2582698113207553
2015-11-14,38.5,3.2973259
2015-11-14,38.6,3.5234519000000004
2015-11-14,38.7,4.083816957142855
2015-11-14,38.8,5.499286745762712
2015-11-14,38.9,6.385676780487805
2015-11-19,38.8,7.195876200000002
2015-11-19,38.9,6.5968341208791195
2015-11-19,39.0,5.60199755172414
2015-11-20,37.6,8.658782486486485
2015-11-20,37.7,6.55269129787234
2015-11-20,37.8,6.24373676344086
2015-11-20,37.9,6.283113726315787
2015-11-20,38.0,5.561455100000001
2015-11-20,38.1,5.044644867346939
2015-11-20,38.2,4.564629212121214
2015-11-20,38.3,4.563453010869564
2015-11-20,38.4,4.333333583333334
2015-11-20,38.5,4.416569901960785
2015-11-20,38.6,4.7007797799999995
2015-11-20,38.7,5.2293254897959205
2015-11-20,38.8,6.257060319148937
2015-11-20,38.9,5.810125562499999
2015-11-21,38.3,4.639612666666667
2015-11-21,38.4,4.612883253968255
2015-11-21,38.5,5.073450542857143
2015-11-21,38.6,5.342990837837837
2015-11-21,38.7,5.681372774647886
2015-11-21,38.8,5.916836580645164
2015-11-21,38.9,5.913944653846154
2015-11-21,39.0,5.864602464285716
