Date,Latitude,Oxygen
2015-10-14,37.5,245.57667076237632
2015-10-15,37.6,131.60428519393935
2015-10-15,37.7,259.57079996
2015-10-15,37.8,265.4799652499999
2015-10-15,37.9,275.21330458620696
2015-10-16,39.0,252.5016945
2015-10-17,38.1,
2015-10-17,38.2,
2015-10-17,38.3,
2015-10-17,38.4,
2015-10-17,38.5,
2015-10-17,38.6,
2015-10-17,38.7,270.33974630021135
2015-10-17,38.8,262.98426821818197
2015-10-18,37.6,223.939167
2015-10-18,37.7,237.69809528571423
2015-10-19,37.8,242.21533340000002
2015-10-19,37.9,255.40136788679246
2015-10-19,38.0,272.60820987037033
2015-10-19,38.1,268.3730031320754
2015-10-19,38.2,261.6648181454545
2015-10-19,38.3,263.2436514363636
2015-10-19,38.4,264.7790327857143
2015-10-19,38.5,260.28020466666675
2015-10-19,38.6,258.71020833928566
2015-10-19,38.7,258.7117836315789
2015-10-19,38.8,248.5300303272727
2015-10-19,38.9,234.77059747169798
2015-10-19,39.0,250.42327958064513
2015-10-24,38.4,225.19129175000003
2015-10-24,38.5,223.9402924210526
2015-10-24,38.6,222.5035694333334
2015-10-24,38.7,219.77179822807017
2015-10-24,38.8,218.2116373859649
2015-10-24,38.9,220.11212613333328
2015-10-24,39.0,255.2015055
2015-10-25,37.6,210.96909601694918
2015-10-25,37.7,214.76257184482753
2015-10-25,37.8,215.20122879661017
2015-10-25,37.9,225.62312140677966
2015-10-25,38.0,232.01896548275857
2015-10-25,38.1,227.94089185964916
2015-10-25,38.2,228.0236350344828
2015-10-25,38.3,228.05010414285715
2015-10-25,38.4,223.87779283783783
2015-11-09,37.6,209.66440789380533
2015-11-10,37.6,268.6425
2015-11-10,37.7,268.874531967742
2015-11-10,37.8,270.2094915932204
2015-11-10,37.9,274.6738135254238
2015-11-10,38.0,274.52665182142863
2015-11-10,38.1,270.99578699999995
2015-11-10,38.2,268.00554492307697
2015-11-10,38.3,269.15155229411766
2015-11-10,38.4,271.40243464705884
2015-11-10,38.5,267.86038195833333
2015-11-10,38.6,263.56557285416665
2015-11-10,38.7,261.2745567446808
2015-11-10,38.8,261.56314237500004
2015-11-10,38.9,266.5319558163266
2015-11-10,39.0,271.07348830232553
2015-11-11,37.6,273.06361107142845
2015-11-11,37.7,273.2092319803921
2015-11-11,37.8,272.26820752830184
2015-11-11,37.9,270.67460694339616
2015-11-11,38.0,272.3497386078431
2015-11-11,38.1,272.16894654716987
2015-11-11,38.2,268.64131407692304
2015-11-11,38.3,269.2729738431372
2015-11-11,38.4,270.93170001999994
2015-11-11,38.5,270.2817186875
2015-11-11,38.6,263.48414925000003
2015-11-11,38.7,259.3041123043478
2015-11-11,38.8,261.03113474468086
2015-11-11,38.9,261.96255319148946
2015-11-11,39.0,253.44230542857144
2015-11-12,37.6,263.3837286
2015-11-12,37.7,279.2107211346155
2015-11-12,37.8,282.6950302727273
2015-11-12,37.9,276.5593396792452
2015-11-12,38.0,279.00702164814817
2015-11-12,38.1,277.6814780188679
2015-11-12,38.2,276.7835220566038
2015-11-12,38.3,274.14977981132074
2015-11-12,38.4,274.6583479122808
2015-11-12,38.5,271.57466049999994
2015-11-12,38.6,266.7517273636364
2015-11-12,38.7,262.77410492592594
2015-11-12,38.8,263.10232461403507
2015-11-12,38.9,266.6403240555555
2015-11-12,39.0,272.66151782142856
2015-11-13,37.6,269.4293808571428
2015-11-13,37.7,274.6471078235294
2015-11-13,37.8,275.32565364705886
2015-11-13,37.9,271.94243588461546
2015-11-13,38.0,270.952376537037
2015-11-13,38.1,270.5945833653846
2015-11-13,38.2,268.84566039622644
2015-11-13,38.3,268.2311006037736
2015-11-13,38.4,271.11954399999996
2015-11-13,38.5,267.51638362264157
2015-11-13,38.6,263.6498558076924
2015-11-13,38.7,258.5163621730769
2015-11-13,38.8,259.17970580392165
2015-11-13,38.9,259.12375
2015-11-14,37.6,255.46624057894735
2015-11-14,37.7,279.67884056521746
2015-11-14,37.8,274.6977659361702
2015-11-14,37.9,274.7125173541668
2015-11-14,38.0,276.7142014375001
2015-11-14,38.1,276.5952482127659
2015-11-14,38.2,274.6587755306122
2015-11-14,38.3,272.52258502040814
2015-11-14,38.4,276.07000000000005
2015-11-14,38.5,274.81743324
2015-11-14,38.6,266.55866669999995
2015-11-14,38.7,262.3902619
2015-11-14,38.8,267.1984039661018
2015-11-14,38.9,271.39
2015-11-19,38.8,241.76599995999996
2015-11-19,38.9,252.59881901098902
2015-11-19,39.0,255.7506509655173
2015-11-20,37.6,256.647046963964
2015-11-20,37.7,267.03988474468093
2015-11-20,37.8,271.9696773978495
2015-11-20,37.9,272.23798244210525
2015-11-20,38.0,270.60675002
2015-11-20,38.1,268.21152211224484
2015-11-20,38.2,266.2626178585858
2015-11-20,38.3,268.84164855434767
2015-11-20,38.4,265.93946181250004
2015-11-20,38.5,256.5722712156862
2015-11-20,38.6,258.2935666
2015-11-20,38.7,256.3924659591837
2015-11-20,38.8,257.3984573829786
2015-11-20,38.9,258.37296868749996
2015-11-21,38.3,275.15493058333334
2015-11-21,38.4,274.20256607936506
2015-11-21,38.5,264.9151309428571
2015-11-21,38.6,267.0386374189188
2015-11-21,38.7,266.8187441267606
2015-11-21,38.8,267.580698919355
2015-11-21,38.9,272.2114904230769
2015-11-21,39.0,277.15913696428566
2015-11-24,39.0,251.22356488888894
2015-11-25,39.0,296.3293333666666
2015-11-26,38.9,296.8206770937501
2015-11-26,39.0,250.421071375
2015-11-27,37.6,307.04223377777765
2015-11-27,37.7,311.8844047142858
